origin,destination,carrier,month,day_of_week,port_congestion,weather_severity,is_holiday_season,is_monsoon,base_transit_days,delay_days
Shanghai,Kolkata,msc,11,4,0.597,0.446,1,0,16,5.8
Rotterdam,Mumbai,msc,8,2,0.021,0.97,0,1,22,0.0
Singapore,Chennai,cma_cgm,6,1,0.182,0.183,0,1,10,3.7
Singapore,Chennai,dhl,1,2,0.612,0.139,1,0,10,0.4
Singapore,Chennai,msc,3,3,0.514,0.592,0,0,10,4.3
Rotterdam,Mumbai,dhl,7,1,0.949,0.966,0,1,22,4.1
Guangzhou,Kolkata,fedex,9,1,0.098,0.684,0,1,14,0.0
Rotterdam,Mumbai,maersk,1,3,0.182,0.755,1,0,22,3.9
Hamburg,Kolkata,cma_cgm,6,1,0.568,0.031,0,1,25,3.4
Guangzhou,Kolkata,cma_cgm,4,5,0.727,0.327,0,0,14,7.8
Hamburg,Kolkata,msc,9,5,0.325,0.389,0,1,25,9.0
Guangzhou,Kolkata,dhl,12,3,0.543,0.141,1,0,14,2.3
Shanghai,Kolkata,ups,1,0,0.987,0.772,1,0,16,9.0
Dubai,Mumbai,maersk,1,2,0.074,0.358,1,0,7,5.3
Shanghai,Mumbai,msc,7,0,0.623,0.331,0,1,18,4.7
Colombo,Mumbai,ups,3,3,0.638,0.887,0,0,5,3.7
Shanghai,Mumbai,maersk,5,6,0.713,0.761,0,0,18,10.9
Shanghai,Kolkata,maersk,9,6,0.428,0.025,0,1,16,4.8
Rotterdam,Mumbai,maersk,7,0,0.314,0.509,0,1,22,3.2
Rotterdam,Mumbai,maersk,4,4,0.077,0.29,0,0,22,3.2
Hamburg,Kolkata,msc,2,1,0.808,0.633,0,0,25,6.8
Singapore,Chennai,msc,11,1,0.122,0.356,1,0,10,4.6
Hamburg,Kolkata,dhl,1,0,0.648,0.001,1,0,25,0.0
Hamburg,Kolkata,maersk,9,5,0.222,0.12,0,1,25,0.0
Singapore,Chennai,maersk,6,0,0.404,0.065,0,1,10,2.1
Shanghai,Kolkata,fedex,3,0,0.148,0.998,0,0,16,0.0
Dubai,Mumbai,dhl,2,1,0.411,0.033,0,0,7,3.7
Hamburg,Kolkata,fedex,5,3,0.448,0.553,0,0,25,0.0
Shanghai,Kolkata,msc,7,2,0.37,0.242,0,1,16,3.9
Guangzhou,Kolkata,cma_cgm,6,2,0.816,0.798,0,1,14,11.2
Shanghai,Mumbai,msc,11,5,0.696,0.858,1,0,18,2.9
Guangzhou,Kolkata,maersk,3,3,0.645,0.174,0,0,14,1.4
Shanghai,Mumbai,fedex,8,0,0.676,0.735,0,1,18,6.2
Guangzhou,Kolkata,maersk,7,3,0.175,0.982,0,1,14,0.3
Singapore,Chennai,msc,1,1,0.996,0.965,1,0,10,10.7
Shanghai,Kolkata,dhl,9,2,0.7,0.847,0,1,16,6.0
Singapore,Chennai,cma_cgm,8,0,0.642,0.084,0,1,10,5.4
Rotterdam,Mumbai,fedex,2,1,0.692,0.652,0,0,22,0.2
Shanghai,Mumbai,msc,1,3,0.237,0.325,1,0,18,7.5
Shanghai,Kolkata,maersk,1,0,0.543,0.509,1,0,16,9.5
Hamburg,Kolkata,cma_cgm,6,5,0.393,0.892,0,1,25,12.7
Hamburg,Kolkata,dhl,12,6,0.493,0.195,1,0,25,7.1
Rotterdam,Mumbai,maersk,4,2,0.769,0.044,0,0,22,3.6
Hamburg,Kolkata,ups,6,2,0.748,0.953,0,1,25,7.3
Rotterdam,Mumbai,dhl,5,6,0.964,0.853,0,0,22,0.8
Shanghai,Kolkata,dhl,3,1,0.557,0.936,0,0,16,0.0
Guangzhou,Kolkata,maersk,8,5,0.097,0.615,0,1,14,6.8
